Station Display Name,Access Category,Port 1: Voltage (V),Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,No. of Ports,EVSE Latitude and Longitude,New Georeferenced Column
ROSCOE PROPERTI / TIMBERCREEK 1,Multifamily Commercial,40A,Roscoe Properties,614 S 1st St,,,Austin,Texas,78704,2,30.256475,"(30.256475, -97.751759)"
AUSTIN / AUSTIN 200 3,Workplace,40A,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,2,30.264505,"(30.264505, -97.746067)"
PIE AE / RUTHERFORDCAMP1,Municipal,40A,AUSTIN ENERGY,8301 Cameron Rd,,,Austin,Texas,78754,2,30.337138,"(30.337138, -97.680658)"
HANOVER / LANTANA HILLS,Multifamily Commercial,40A,Hanover- Green Water Block 1,6601Rialto Blvd,,,Austin,Texas,78735,2,30.24912,"(30.24912, -97.862418)"
HPI 3700 / 3900 SC #2,Workplace,40A,HPI Real Estate Company,3900 N Capital of Texas Hwy,,4th,Austin,Texas,78746,2,30.337882,"(30.337882, -97.807765)"
LADERA BEND / GATED GARAGE 2,Workplace,40A,Ladera Bend,7300 Ranch Rd 2222,,M,Austin,Texas,78730,2,30.372159,"(30.372159, -97.80166)"
ENDEAVOR REG / BLUE GARAGE #1,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403697,"(30.403697, -97.722512)"
ENDEAVOR REG / PALM WAY #2,Parking,40A,Endeavor Real Estate Group,Palm Way,,,Austin,Texas,78758,2,30.403631,"(30.403631, -97.719901)"
PIE AE / PUBPEARSONH LN1,Education,40A,AUSTIN ENERGY,Center Line Pass,,,Austin,Texas,78753,2,30.416589,"(30.416589, -97.666054)"
PEARL LANTANA / STATION 04,Multifamily Commercial,40A,Pearl Lantana,6401 Rialto Blvd,,,Austin,Texas,78735,2,30.248663,"(30.248663, -97.857005)"
GALLERIA OAKS / GALLERIA OAKS 2,Workplace,40A,RMR Real Estate Services,3927 Ranch Rd 620 S,,1,Austin,Texas,78738,2,30.313186,"(30.313186, -97.946482)"
FLORA / STATION 1,Multifamily Commercial,40A,Flora Apartments,5406 Middle Fiskville Rd,,B2,Austin,Texas,78751,2,30.316671,"(30.316671, -97.714957)"
COA FLEET - PIE / ROOF3,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268894,"(30.268894, -97.734703)"
GALLERY DOMAIN / GALLERY DOMAIN,Multifamily Commercial,30A,Domain Parkside Apartments,11100 Alterra Pkwy,,,Austin,Texas,78758,2,30.396207,"(30.396207, -97.722102)"
PIE AE / CONVENTION CTR1,Parking,40A,AUSTIN ENERGY,111 Congress Ave,,,Austin,Texas,78701,2,30.263755,"(30.263755, -97.743423)"
MUELLER MARKET / MUELLER 4,Retail,40A,"Mueller Market Retail , LLC",Garcia St,,,Austin,Texas,78723,1,30.301615,"(30.301615, -97.69867)"
PIE AE / PUBLIFEWORKSST1,Workplace,,AUSTIN ENERGY,1504 Pennsylvania Ave,,,Austin,Texas,78702,2,30.271103,"(30.271103, -97.723054)"
PIE AE / PUBACCSOAUSTIN1,Education,30A,AUSTIN ENERGY,5517 Manchaca Rd,,,Austin,Texas,78745,2,30.216019,"(30.216019, -97.796332)"
CATHERINE / CATHERINE 1,Multifamily Commercial,40A,The Catherine,300 Barton Springs Rd,,3rd,Austin,Texas,78704,2,30.259096,"(30.259096, -97.747775)"
ENDEAVOR REG / BLUE GARAGE #3,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403779,"(30.403779, -97.722489)"
WEINSTEIN / BEXLEY 1,Multifamily Commercial,,Weinstein Properties,2801 S Lakeline Blvd,,,Cedar Park,Texas,78613,2,30.473632,"(30.473632, -97.809632)"
AVIATION / 1ST FLOOR R,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,1,Austin,Texas,78719,2,30.204594,"(30.204594, -97.669188)"
PIE AE / PUB-HEBCONGRESS,Retail,40A,AUSTIN ENERGY,2400-2424 S Congress Ave,,,Austin,Texas,78704,2,30.238689,"(30.238689, -97.753858)"
PIE AE / PUBAISDBURGERC,Parking,40A,AUSTIN ENERGY,3200 Jones Rd,,,Sunset Valley,Texas,78745,2,30.228455,"(30.228455, -97.809379)"
PIE AE / PUBACCHIGHLAND2,Education,40A,AUSTIN ENERGY,5930 Middle Fiskville Rd,,,Austin,Texas,78752,2,30.322727,"(30.322727, -97.712799)"
SCHOOL / TRAVIS1,Education,40A,Austin Independent School District,2430 S IH 35 Frontage Rd,,,Austin,Texas,78704,2,30.232148,"(30.232148, -97.743892)"
SCHOOL / TRAVIS2,Education,40A,Austin Independent School District,1211 E Oltorf St.,,,Austin,Texas,78704,2,30.232206,"(30.232206, -97.743837)"
WEINSTEIN / 3 FIVE,Multifamily Commercial,40A,Weinstein Properties,8003 S IH 35 Frontage Rd,,,Austin,Texas,78744,2,30.172599,"(30.172599, -97.777067)"
PIE AE / OTC 3FL PKGSTA3,Municipal,40A,AUSTIN ENERGY,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.256917,"(30.256917, -97.749169)"
HPI 3700 / EV 5,Workplace,40A,HPI Real Estate Company,4339 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336623,"(30.336623, -97.807619)"
PIE AE / ANIMAL SERVICE1,Municipal,40A,AUSTIN ENERGY,7201 Levander Loop,,,Austin,Texas,78702,2,30.251369,"(30.251369, -97.689082)"
COA FLEET - PIE / MEINARD #1,Fleet,40A,US City of Austin Texas,4393-4799 Meinardus Dr,,,Austin,Texas,78744,2,30.211361,"(30.211361, -97.752083)"
MUELLER MARKET / MUELLER ST7,Workplace,30A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.300934,"(30.300934, -97.699428)"
COA / NEWCENTRALLIB2,Municipal,40A,City of Austin Library,710 W Cesar Chavez St,,P1,Austin,Texas,78701,2,30.266118,"(30.266118, -97.751731)"
PIE AE / PUBWYNDHAMGARD1,Hospitality,40A,AUSTIN ENERGY,1600-1628 Woodward St,,,Austin,Texas,78741,2,30.222774,"(30.222774, -97.74635)"
ENCINO STATIONS / STATION 3,Workplace,40A,"ATX Office Owner 2, LP",5707 Southwest Pkwy,,,Austin,Texas,78735,1,30.243737,"(30.243737, -97.84575)"
AISD PAC / AISD PAC #1,Education,40A,Austin Independent School District,Mueller Blvd,,,Austin,Texas,78723,2,30.305454,"(30.305454, -97.702666)"
YETI RAMBLERS / EVSE #1,Workplace,40A,Yeti Coolers,7601 Southwest Pkwy,William Cannon,B1,Austin,Texas,78735,2,30.256412,"(30.256412, -97.871799)"
SAS / SAMSUNG 3,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377424,"(30.377424, -97.639722)"
NATIONAL INSTRU / 3&4,Workplace,40A,National Instruments,11500 N Mopac Expy,,2nd,Austin,Texas,78759,2,30.408744,"(30.408744, -97.725343)"
AVIATION / 4TH FLOOR,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,4,Austin,Texas,78719,2,30.204614,"(30.204614, -97.669503)"
DSMCUT / EVSE04 FLOOR L4,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,,Austin,Texas,78701,2,30.275239,"(30.275239, -97.734584)"
PIE AE / PUB-STDAVIDSST2,Healthcare,40A,AUSTIN ENERGY,710 Trinity St,,,Austin,Texas,78701,2,30.268694,"(30.268694, -97.738907)"
PIE AE / ZILKERPARKPOLO1,Parks and Recreation,40A,AUSTIN ENERGY,2310 Andrew Zilker Rd,,,Austin,Texas,78746,2,30.266584,"(30.266584, -97.774925)"
RIO GRANDE GAR1 / AUSTIN CC AE 2,Education,40A,Austin Community College (AE),824 W 12th St,,,Austin,Texas,78701,2,30.276423,"(30.276423, -97.749389)"
WHITLEY MAIN / PIE-M WHITLEY,Multifamily Commercial,40A,Whitley,301 Brazos St,,,Austin,Texas,78701,2,30.265199,"(30.265199, -97.742194)"
